scaler,k,algo,silhouette,ch,db
StandardScaler,3,kmeans,0.5031,6922.0,0.9245
StandardScaler,3,gmm,0.4958,6457.0,1.0352
StandardScaler,3,agglomerative,0.5006,6513.7,0.9812
StandardScaler,4,kmeans,0.3115,8620.5,1.0036
StandardScaler,4,gmm,0.2514,6698.1,1.1901
StandardScaler,4,agglomerative,0.3008,6967.4,1.1057
StandardScaler,5,kmeans,0.2675,8029.9,1.0841
StandardScaler,5,gmm,0.1849,6055.5,1.3728
StandardScaler,5,agglomerative,0.2336,7001.8,1.1757
StandardScaler,6,kmeans,0.2826,7471.8,1.0289
StandardScaler,6,gmm,0.1439,5155.1,1.6472
StandardScaler,6,agglomerative,0.2431,6390.8,1.1313
StandardScaler,7,kmeans,0.2923,7270.6,1.002
StandardScaler,7,gmm,0.1122,4471.6,1.9204
StandardScaler,7,agglomerative,0.2307,6082.9,1.1733
StandardScaler,8,kmeans,0.2954,6969.9,1.0495
StandardScaler,8,gmm,0.1133,4203.3,1.7756
StandardScaler,8,agglomerative,0.2318,5965.9,1.2175
RobustScaler,3,kmeans,0.2771,8473.5,1.2369
RobustScaler,3,gmm,0.19,3172.6,1.9587
RobustScaler,3,agglomerative,0.2451,6564.0,1.2496
RobustScaler,4,kmeans,0.2849,7719.6,1.2304
RobustScaler,4,gmm,0.2274,5921.7,1.352
RobustScaler,4,agglomerative,0.2209,5902.9,1.3919
RobustScaler,5,kmeans,0.2896,7509.7,1.1025
RobustScaler,5,gmm,0.1227,2898.6,3.024
RobustScaler,5,agglomerative,0.205,5542.1,1.3434
RobustScaler,6,kmeans,0.2602,7276.6,1.0602
RobustScaler,6,gmm,0.1762,4981.2,1.1696
RobustScaler,6,agglomerative,0.1835,5327.8,1.2315
RobustScaler,7,kmeans,0.2636,7030.2,1.074
RobustScaler,7,gmm,0.1225,3779.5,1.4021
RobustScaler,7,agglomerative,0.1784,5165.4,1.3078
RobustScaler,8,kmeans,0.2696,6939.6,0.9819
RobustScaler,8,gmm,0.1034,3695.0,1.3285
RobustScaler,8,agglomerative,0.1817,5107.8,1.1784
