rank,feature,importance_gain,importance_split,permutation_importance
1,log_rev_lag_1,0.21732652727346063,1.0,0.21732652727346063
2,log_rev_roll_std_14,0.21218768602490323,1.0,0.21218768602490323
3,items_prev_day,0.16438387198875368,1.0,0.16438387198875368
4,freight_prev_day,0.15631762664828575,1.0,0.15631762664828575
5,customers_prev_day,0.0986690140340916,1.0,0.0986690140340916
6,orders_lag_1,0.09510508713592598,1.0,0.09510508713592598
7,avg_freight_prev_day,0.09183779255102076,1.0,0.09183779255102076
8,orders_prev_day,0.06998547500257501,1.0,0.06998547500257501
9,customers_lag_1,0.06994393813006035,1.0,0.06994393813006035
10,aov_lag_1,0.0631350677714444,1.0,0.0631350677714444
11,aov_prev_day,0.05437593098732511,1.0,0.05437593098732511
12,log_rev_roll_ema_7,0.052081836819857584,1.0,0.052081836819857584
13,log_rev_roll_min_7,0.04025347743713574,1.0,0.04025347743713574
14,customers_lag_7,0.032809714505936505,1.0,0.032809714505936505
15,orders_lag_7,0.031957952032216054,1.0,0.031957952032216054
16,log_rev_roll_mean_7,0.029203153672413152,1.0,0.029203153672413152
17,log_rev_roll_max_7,0.027800168151745908,1.0,0.027800168151745908
18,customers_lag_2,0.023063422537923726,1.0,0.023063422537923726
19,log_rev_roll_ema_14,0.023044956645409797,1.0,0.023044956645409797
20,items_per_order_prev_day,0.02222117238362751,1.0,0.02222117238362751
21,rev_lag_2,0.01884903159801894,1.0,0.01884903159801894
22,log_rev_lag_2,0.018803687102290655,1.0,0.018803687102290655
23,rev_roll_mean_7,0.01583538936786768,1.0,0.01583538936786768
24,orders_lag_2,0.011159807799431043,1.0,0.011159807799431043
25,log_rev_roll_std_90,0.009877090185963144,1.0,0.009877090185963144
26,aov_lag_2,0.009129638255256544,1.0,0.009129638255256544
27,fourier_cos_2,0.008740711168356442,1.0,0.008740711168356442
28,log_rev_roll_std_60,0.007838289212330363,1.0,0.007838289212330363
29,orders_lag_3,0.006403873183430697,1.0,0.006403873183430697
30,log_rev_roll_mean_14,0.0048584981561314855,1.0,0.0048584981561314855
31,rev_roll_mean_14,0.004644422554954985,1.0,0.004644422554954985
32,day_of_month,0.004204502806842125,1.0,0.004204502806842125
33,log_rev_roll_min_14,0.003698625150682755,1.0,0.003698625150682755
34,fourier_sin_1,0.0036222466679995515,1.0,0.0036222466679995515
35,day_of_week,0.003558798025947496,1.0,0.003558798025947496
36,log_rev_roll_ema_30,0.003517829236493597,1.0,0.003517829236493597
37,day_sin,0.0023268164885623223,1.0,0.0023268164885623223
38,rev_lag_7,0.002038839062551023,1.0,0.002038839062551023
39,log_rev_roll_std_30,0.0020251835737809644,1.0,0.0020251835737809644
40,fourier_cos_3,0.0019468235468455219,1.0,0.0019468235468455219
41,log_rev_lag_7,0.0017480900557479196,1.0,0.0017480900557479196
42,aov_lag_7,0.0016391885280899743,1.0,0.0016391885280899743
43,log_rev_roll_std_7,0.0013456418687932902,1.0,0.0013456418687932902
44,aov_lag_3,0.0012756591344538215,1.0,0.0012756591344538215
45,fourier_sin_2,0.0009554829035704592,1.0,0.0009554829035704592
46,customers_lag_3,0.000695369129360568,1.0,0.000695369129360568
47,aov_lag_14,0.0006174929654331862,1.0,0.0006174929654331862
48,rev_lag_3,0.000607978712527224,1.0,0.000607978712527224
49,aov_lag_28,0.0006001760359590769,1.0,0.0006001760359590769
50,fourier_cos_1,0.000574749564925181,1.0,0.000574749564925181
51,log_rev_roll_min_30,0.0005614238314443299,1.0,0.0005614238314443299
52,rev_lag_90,0.0005090828005946512,1.0,0.0005090828005946512
53,rev_lag_14,0.000501700174878561,1.0,0.000501700174878561
54,fourier_sin_3,0.00048562257850095494,1.0,0.00048562257850095494
55,customers_lag_28,0.0004670556043599561,1.0,0.0004670556043599561
56,log_rev_lag_14,0.0004611759403211124,1.0,0.0004611759403211124
57,orders_lag_28,0.0004265267356064584,1.0,0.0004265267356064584
58,orders_lag_90,0.0004136868169713814,1.0,0.0004136868169713814
59,log_rev_lag_90,0.00035282800729801166,1.0,0.00035282800729801166
60,customers_lag_90,0.00034430588978491273,1.0,0.00034430588978491273
61,log_rev_lag_3,0.0003401164511555699,1.0,0.0003401164511555699
62,log_rev_roll_mean_30,0.0003284108752215964,1.0,0.0003284108752215964
63,weekend_flag,0.00031144325011576155,1.0,0.00031144325011576155
64,aov_lag_60,0.000283863675398166,1.0,0.000283863675398166
65,orders_lag_30,0.0002788397202963644,1.0,0.0002788397202963644
66,log_rev_roll_min_60,0.0002288306339795376,1.0,0.0002288306339795376
67,log_rev_lag_30,0.0002101354115993992,1.0,0.0002101354115993992
68,day_cos,0.00020574390795395913,1.0,0.00020574390795395913
69,log_rev_roll_ema_60,0.0001800351947494505,1.0,0.0001800351947494505
70,rev_roll_mean_60,0.00015722276482259544,1.0,0.00015722276482259544
71,orders_lag_14,0.00012900743722665808,1.0,0.00012900743722665808
72,aov_lag_90,0.00010839769725956572,1.0,0.00010839769725956572
73,rev_roll_mean_30,9.511589496522533e-05,1.0,9.511589496522533e-05
74,log_rev_lag_60,9.169436561640154e-05,1.0,9.169436561640154e-05
75,customers_lag_14,8.03317761600475e-05,1.0,8.03317761600475e-05
76,log_rev_roll_max_30,7.890382630701965e-05,1.0,7.890382630701965e-05
77,rev_lag_28,7.75960044682833e-05,1.0,7.75960044682833e-05
78,log_rev_roll_mean_60,5.9502437949099376e-05,1.0,5.9502437949099376e-05
79,customers_lag_30,5.2863529767588344e-05,1.0,5.2863529767588344e-05
80,rev_lag_60,4.713150631570073e-05,1.0,4.713150631570073e-05
81,month_sin,4.198900358183266e-05,1.0,4.198900358183266e-05
82,log_rev_roll_ema_90,4.145960308141738e-05,1.0,4.145960308141738e-05
83,day_of_year,4.02280975185576e-05,1.0,4.02280975185576e-05
84,customers_lag_60,3.168242486877304e-05,1.0,3.168242486877304e-05
