rank,feature,importance_gain,importance_split,permutation_importance
1,log_rev_roll_mean_7,12789.800729494542,13,4.8545585775805476e-05
2,rev_roll_mean_7,2532.2840537223965,7,-0.0003037097657221821
3,time_index,1271.654948592186,29,0.0
4,orders_lag_2,697.0766712992336,16,0.13054922301738978
5,log_rev_roll_max_7,639.5841152616777,32,0.09364560397461937
6,customers_lag_2,457.5681089758873,6,0.1112702245151846
7,log_rev_lag_1,348.3975538108498,36,0.37840947137003295
8,orders_prev_day,289.8932132124901,3,0.1138846149973813
9,freight_prev_day,151.9522370584309,25,0.13684291290705436
10,items_prev_day,142.99026231653988,23,0.24703698411830546
11,orders_lag_7,124.22479200363159,21,0.11024546094486602
12,log_rev_roll_ema_90,81.8104019165039,1,0.0
13,log_rev_roll_std_14,81.73548387503251,28,0.2457262580968637
14,log_rev_roll_mean_60,75.92139362543821,4,-0.0001686650903702791
15,customers_lag_7,55.639761209487915,5,0.012973741025060725
16,fourier_cos_2,45.35755735116254,63,-0.01575821068894214
17,customers_lag_1,29.328260824084282,7,0.0016552730040551467
18,log_rev_lag_2,29.045532210730016,17,0.06392190977294279
19,items_per_order_prev_day,27.992320337332785,29,0.04688791849754263
20,rev_lag_2,26.781424382701516,10,0.004767739265882742
21,orders_lag_1,20.7823451962322,12,0.04956327926718691
22,log_rev_lag_7,18.898816384375095,21,-0.004508793513987896
23,aov_lag_14,12.03453428865032,19,0.0014321886882962432
24,day_of_week,11.935490365605801,55,0.021991330580486947
25,orders_lag_90,10.70067470986396,9,6.946874087221389e-05
26,fourier_cos_1,10.216904789209366,18,-0.008957016087516667
27,rev_lag_7,8.553344178944826,7,-1.1188725127286858e-05
28,log_rev_lag_90,8.52707889676094,13,-0.000229411987593231
29,log_rev_lag_14,6.856352152302861,19,-0.0008563259221955555
30,log_rev_roll_std_90,6.753129858523607,29,0.019073174293010718
31,log_rev_roll_min_7,5.88012994453311,7,0.004824450678198655
32,log_rev_roll_ema_7,5.693155635148287,19,-0.00010516850952972945
33,log_rev_roll_std_7,5.452184788882732,30,-0.004456853765639845
34,aov_lag_7,5.192319740803214,39,-0.008509454906076908
35,fourier_sin_2,5.0690471599809825,38,-0.0032691023181130596
36,fourier_cos_3,4.6552211926318705,20,0.026067421082774177
37,log_rev_lag_28,3.8008046825416386,9,0.00030142567175630577
38,aov_lag_3,3.794567200820893,29,-0.022423676915444536
39,aov_lag_90,3.196225021034479,22,0.011770271834040358
40,aov_lag_1,3.0848016990348697,21,-0.01628881188199669
41,aov_lag_30,2.793385924305767,32,0.0019106719093424651
42,aov_lag_28,2.5802065767347813,36,-0.0036307295081363655
43,log_rev_roll_std_30,2.307555492967367,20,-0.023301058719403755
44,day_of_year,2.2937629520893097,5,0.0
45,day_of_month,2.228217899799347,23,-0.000414946867150956
46,avg_freight_prev_day,2.203753183595836,32,-0.00883638571605152
47,fourier_sin_3,1.9556435632985085,15,-0.0010809283572240425
48,day_sin,1.954839108014312,15,0.008597499307441137
49,customers_lag_90,1.6991760954260826,4,0.0
50,log_rev_roll_ema_14,1.6800015312619507,9,-0.00016304253271650637
51,weekend_flag,1.5890890061855316,7,-0.002441908806177562
52,aov_lag_60,1.5585966769140214,20,0.0009978419154994533
53,log_rev_roll_std_60,1.4406140334904194,11,0.016971592339159524
54,fourier_sin_1,1.403663391713053,14,0.009531566554402904
55,orders_lag_60,1.389490063302219,12,-0.00015759868670714994
56,rev_lag_30,1.1939461180008948,8,-0.00023703006413144934
57,aov_prev_day,1.0530071987304837,9,-0.0006814294897270479
58,orders_lag_30,1.0499426871538162,12,0.0008095741899965426
