order_date,actual_revenue,predicted_revenue,residual
2018-05-21,29665.97,39735.38967422948,-10069.41967422948
2018-05-22,32070.68,39574.48781442413,-7503.80781442413
2018-05-23,20262.29,39200.9572087354,-18938.6672087354
2018-05-24,22274.67,25995.243555035227,-3720.573555035229
2018-05-25,18137.37,24480.82690838425,-6343.456908384251
2018-05-26,16914.09,17286.167899574484,-372.07789957448404
2018-05-27,14693.68,17049.554598294722,-2355.874598294722
2018-05-28,30304.95,22154.712877030808,8150.237122969193
2018-05-29,29430.63,27569.06969693568,1861.5603030643215
2018-05-30,22529.08,26454.837093397415,-3925.757093397413
2018-05-31,28156.52,24052.211013423686,4104.308986576314
2018-06-01,37282.67,24825.31483480034,12457.355165199657
2018-06-02,28939.99,24971.61503643633,3968.3749635636705
2018-06-03,32869.9,23985.62855580403,8884.271444195972
2018-06-04,34326.4,30372.338037862966,3954.061962137035
2018-06-05,36101.72,30795.677925759657,5306.042074240344
2018-06-06,32176.98,29699.806156800452,2477.1738431995473
2018-06-07,42676.38,30375.495844096647,12300.88415590335
2018-06-08,31797.2,37683.66344195081,-5886.463441950811
2018-06-09,34033.77,30356.722001638314,3677.0479983616824
2018-06-10,30288.25,33141.85885144599,-2853.6088514459916
2018-06-11,57313.28,37382.83403124046,19930.445968759537
2018-06-12,46762.43,47311.93486338463,-549.5048633846309
2018-06-13,41586.63,46924.05557063731,-5337.425570637315
2018-06-14,32707.21,48502.43745060887,-15795.227450608872
2018-06-15,31498.76,41546.16592495624,-10047.405924956245
2018-06-16,29000.08,41408.14901952729,-12408.069019527291
2018-06-17,20751.52,37763.358112061316,-17011.838112061316
2018-06-18,41023.4,40557.10560730404,466.2943926959633
2018-06-19,40013.6,39990.0759109494,23.52408905059565
2018-06-20,34330.27,40666.79654124355,-6336.526541243555
2018-06-21,33301.99,30475.14404501573,2826.8459549842664
2018-06-22,28753.16,29365.824029544227,-612.6640295442267
2018-06-23,21181.11,24572.266379686003,-3391.1563796860028
2018-06-24,29498.58,24870.876668285004,4627.703331714998
2018-06-25,41879.92,31667.59899681644,10212.321003183559
2018-06-26,37616.54,36323.580005228505,1292.959994771496
2018-06-27,32505.93,30306.32606629254,2199.6039337074617
2018-06-28,38739.05,30648.588762285173,8090.46123771483
2018-06-29,25098.69,29643.658089777124,-4544.968089777125
2018-06-30,18621.7,26241.28109248407,-7619.58109248407
2018-07-01,29060.7,23105.085959577245,5955.614040422755
2018-07-02,29422.43,31933.138191449438,-2510.7081914494374
2018-07-03,31454.6,30308.963249069577,1145.6367509304218
2018-07-04,41579.8,29255.203062729,12324.596937271002
2018-07-05,33949.48,35034.175731059724,-1084.6957310597209
2018-07-06,22108.67,29968.54668455264,-7859.876684552641
2018-07-07,11277.24,28175.20726005589,-16897.96726005589
2018-07-08,17554.74,25649.77685703162,-8095.036857031617
2018-07-09,23122.17,32086.163437231175,-8963.993437231176
2018-07-10,22246.77,37430.17783327331,-15183.407833273308
2018-07-11,22140.62,36619.234649665734,-14478.614649665735
2018-07-12,32569.71,25593.463359751,6976.246640248999
2018-07-13,32529.4,25081.800873291242,7447.599126708759
2018-07-14,26427.02,22585.77354840958,3841.246451590421
2018-07-15,34489.4,22172.377125505234,12317.022874494767
2018-07-16,37778.13,30794.51967888097,6983.6103211190275
2018-07-17,35758.41,30990.94136051195,4767.468639488052
2018-07-18,48984.15,30077.520289294316,18906.629710705685
2018-07-19,44911.24,38971.09868742553,5940.141312574466
2018-07-20,38061.85,40197.56563203928,-2135.7156320392824
2018-07-21,25502.08,32952.76023889577,-7450.680238895766
2018-07-22,32962.26,33450.251365139084,-487.9913651390816
2018-07-23,47975.62,37992.50597483246,9983.114025167546
2018-07-24,48083.44,42780.37102241449,5303.0689775855135
2018-07-25,47912.59,47655.00573711812,257.5842628818791
2018-07-26,41784.72,44085.03549841331,-2300.315498413307
2018-07-27,33331.13,42435.41263507427,-9104.282635074276
2018-07-28,30065.12,41457.50106029971,-11392.381060299715
2018-07-29,36468.28,31362.997707619325,5105.282292380674
2018-07-30,45814.02,36490.40283093526,9323.617169064739
2018-07-31,53402.24,39415.37014411023,13986.869855889767
2018-08-01,48431.03,39601.68228073003,8829.347719269972
2018-08-02,45625.66,39288.34966235721,6337.310337642797
2018-08-03,49517.58,39055.39439175561,10462.185608244392
2018-08-04,41227.8,39486.282778951856,1741.517221048147
2018-08-05,42272.07,36697.590571316185,5574.479428683815
2018-08-06,65860.42,39879.78732323318,25980.63267676682
2018-08-07,58294.38,40083.307193181645,18211.072806818353
2018-08-08,51360.5,41353.03798275441,10007.46201724559
2018-08-09,46734.86,41129.785165114874,5605.074834885127
2018-08-10,39585.29,39170.23370899194,415.05629100806254
2018-08-11,30565.73,47918.40877453912,-17352.678774539123
2018-08-12,36739.75,38780.79198674072,-2041.0419867407181
2018-08-13,45876.91,41417.30749998718,4459.602500012821
2018-08-14,51471.37,44444.03517233409,7027.334827665916
2018-08-15,52358.65,39368.0106285842,12990.639371415804
2018-08-16,42217.31,39622.34089444775,2594.969105552249
2018-08-17,37638.99,38444.391193013995,-805.4011930139968
2018-08-18,28698.1,31041.172577095032,-2343.072577095034
2018-08-19,29966.5,30738.14850724678,-771.6485072467804
2018-08-20,39851.87,40761.79963554666,-909.9296355466577
2018-08-21,30830.69,44501.84876889071,-13671.158768890713
2018-08-22,24262.61,35321.831210390505,-11059.221210390504
2018-08-23,19540.56,33344.483610979834,-13803.923610979833
2018-08-24,11313.39,27827.987510395968,-16514.597510395968
2018-08-25,11737.76,24986.217417112668,-13248.457417112668
2018-08-26,9333.16,24932.629576598894,-15599.469576598894
2018-08-27,6111.61,27685.374889954335,-21573.764889954335
2018-08-28,4121.22,20052.412286941286,-15931.192286941285
2018-08-29,1762.7,15254.557660655819,-13491.857660655818
2018-08-30,0.0,13744.242050729616,-13744.242050729616
2018-08-31,0.0,12154.952329589074,-12154.952329589074
2018-09-01,0.0,11608.788725063703,-11608.788725063703
2018-09-02,0.0,11021.342793602256,-11021.342793602256
2018-09-03,166.46,13220.210767549534,-13053.750767549534
